cover,elev,tci,streamdist,disturb,beers
6,1214,5.45581198,169.7,LT-SEL,1.99819815
2,1447,4.44888878,89.44,VIRGIN,1.07812107
6,905.8,8.82238483,20,LT-SEL,0.29943642
2,1015,6.66399097,255,SETTLE,0.05800001
6,866.8,4.24502897,20,VIRGIN,1.68929851
2,1318,4.82635307,198,VIRGIN,1.98695123
2,1267,5.57712603,44.72,VIRGIN,1.31413603
7,1181,9.44544983,10,VIRGIN,0.00020564
7,1487,3.95891809,262.5,CORPLOG,1.49446619
2,918.3,4.41510916,76.16,SETTLE,0.95874566
6,988.4,8.58088684,36.06,VIRGIN,1.43431389
2,939.3,5.4027791,134.5,SETTLE,1.46014357
2,1206,4.76958799,10,LT-SEL,1.95786643
4,980.5,4.8444171,63.25,VIRGIN,1.66897535
2,952.8,7.43198395,36.06,VIRGIN,1.81553626
2,882.3,5.15354681,50,LT-SEL,0.36615214
2,1113,3.4010179,84.85,VIRGIN,1.94633472
2,847,6.38500595,50,LT-SEL,0.80605716
4,834.5,5.5891118,22.36,LT-SEL,1.9692086
4,859.8,6.00051403,89.44,LT-SEL,0.8724767
2,1185,4.73946524,264,LT-SEL,1.86984003
2,1533,4.52862883,337.3,VIRGIN,0.65501821
5,910,5.95543623,14.14,SETTLE,0.57244837
2,859.5,7.11973906,104.4,LT-SEL,1.06107688
5,801.3,7.50090694,41.23,SETTLE,1.99556172
4,793.7,10.53,0,SETTLE,1.68462086
5,802.3,6.070086,90.55,SETTLE,0.3981379
8,1072,11.15,10,SETTLE,0.53707433
2,1504,4.37374115,237.1,VIRGIN,1.65584207
5,628.4,3.91855192,120.4,LT-SEL,0.04478073
5,551.7,7.12312412,14.14,LT-SEL,0.96440923
6,683.7,4.15644693,22.36,LT-SEL,1.9521364
5,444.2,4.41574621,28.28,LT-SEL,0.16297245
5,437.7,6.78083277,0,LT-SEL,1.79770136
6,613.5,3.636199,272,LT-SEL,1.7864604
6,595.6,4.46126795,250.8,LT-SEL,0.97821885
6,584,4.80739689,108.2,LT-SEL,1.51250339
6,598.8,4.82904005,210.2,LT-SEL,0.72464001
4,606.2,3.7613709,252.4,LT-SEL,0.05484751
1,917.5,5.20643902,353.8,LT-SEL,0.81792277
4,941,4.39282799,320.6,LT-SEL,1.68158853
5,919.9,5.05614424,156.5,LT-SEL,0.75687164
6,883.4,5.40982389,108.2,LT-SEL,1.37579525
4,727,3.16103697,250.8,LT-SEL,1.41699612
8,625.5,4.68501806,63.25,LT-SEL,0.0068528
7,613.4,4.98365498,36.06,LT-SEL,1.85831022
1,510.3,8.76585293,312.6,LT-SEL,1.50207818
6,457.3,9.2308197,28.28,LT-SEL,1.1679101
4,717.4,4.51472521,460,LT-SEL,1.14009523
4,706,4.35608196,390.5,LT-SEL,0.16328752
2,794,3.75529408,360.6,LT-SEL,1.98356032
4,758.6,4.72222519,63.25,LT-SEL,1.08114648
3,503.2,4.64458084,355.1,CORPLOG,0.72824824
6,817.5,8.70455647,465.3,LT-SEL,0.81304598
6,840.3,7.90501118,408,LT-SEL,1.70904732
5,544.6,8.5399971,160,LT-SEL,1.12592888
5,568.9,10.67,250.8,LT-SEL,1.20157778
4,678.1,5.25798607,214,LT-SEL,0.0947428
6,581.1,4.57624388,64.03,LT-SEL,1.7887274
5,582.7,6.23814106,176.9,LT-SEL,0.34974054
2,590,4.69755602,474.3,CORPLOG,0.84226847
1,571.5,5.10388613,266.8,CORPLOG,0.3876434
4,681.4,4.70516014,506,LT-SEL,0.88299614
4,670.8,4.5713501,462.4,LT-SEL,0.64879811
2,698.4,3.85004401,197,LT-SEL,0.43965831
2,716.1,4.26419878,240.4,LT-SEL,0.10218436
5,709.6,3.68539906,235.4,LT-SEL,1.06184423
5,676.1,5.47057295,200,LT-SEL,1.1176964
4,661.4,4.68295383,127.3,LT-SEL,1.97888565
5,610.7,4.52831793,277.3,LT-SEL,0.00162463
4,637.3,4.85419703,300.8,LT-SEL,0.02940879
6,614.4,5.13394117,186,LT-SEL,1.19817114
4,584.3,6.47289991,85.44,LT-SEL,1.77505493
4,607,4.79977417,114,LT-SEL,1.38205504
7,584.3,6.47289991,85.44,LT-SEL,1.77505493
7,607,4.79977417,114,LT-SEL,1.38205504
4,574.8,4.37171078,0,LT-SEL,1.66967678
4,608.7,3.64123893,36.06,LT-SEL,1.90694547
5,574.8,4.37171078,0,LT-SEL,1.66967678
5,608.7,3.64123893,36.06,LT-SEL,1.90694547
6,607.8,5.16231585,28.28,LT-SEL,0.57169908
6,592.6,5.35637188,31.62,LT-SEL,0.31793281
6,565.1,5.09103489,50,LT-SEL,0.76325756
4,481.8,4.45236206,14.14,LT-SEL,1.9872098
6,603,6.0051198,36.06,LT-SEL,0.41018903
6,614.6,5.21767616,382.1,LT-SEL,1.82649243
6,669.3,9.71498203,378.5,LT-SEL,1.50664282
6,691.1,5.42046499,317.6,LT-SEL,1.38211691
6,611.7,10.24,197.2,LT-SEL,0.00886668
6,690.8,4.80152607,230,LT-SEL,0.52077001
6,650.8,3.88353205,386.4,LT-SEL,1.94824541
5,663.5,4.75779009,383.3,LT-SEL,1.99991763
6,673.2,5.40900183,520.1,LT-SEL,1.75601733
6,680.2,4.7884531,460,LT-SEL,0.00010672
6,676.8,3.841851,237.1,LT-SEL,1.47897458
6,760.6,5.57019711,255,LT-SEL,0.94494045
7,750.6,7.00905085,301.5,LT-SEL,0.12922165
6,659.7,7.15281677,10,LT-SEL,1.83896255
6,751.5,5.0061202,219.3,LT-SEL,1.67205107
5,752.9,4.58780289,205.2,LT-SEL,0.03474157
6,731.2,4.71225786,169.7,LT-SEL,0.04445076
6,705.1,10.48,98.99,LT-SEL,0.2479222
4,514.3,3.77509809,150,LT-SEL,1.48247421
6,446.6,4.69749117,50,LT-SEL,1.50944912
5,518.3,4.35624313,220,LT-SEL,0.6318047
5,552.7,8.75770378,161.2,LT-SEL,0.1227034
1,413.1,6.75950623,10,LT-SEL,1.86838758
1,443.3,8.6936121,10,LT-SEL,0.42805532
6,478.2,5.47542715,100.5,LT-SEL,0.44149759
5,339.8,5.53444195,50,LT-SEL,1.30991566
5,351,5.04492712,92.2,LT-SEL,1.98913229
5,326.3,6.51829004,40,LT-SEL,1.96703136
5,362.6,4.59075308,31.62,LT-SEL,0.01060447
4,368.7,4.95879889,127.3,LT-SEL,0.24951959
5,379.4,4.40113401,64.03,LT-SEL,0.0154725
6,564.8,5.63021421,138.9,LT-SEL,1.24359202
6,605.9,3.48094106,130.4,LT-SEL,1.99760628
6,603.3,3.52819395,247.6,LT-SEL,1.67021656
6,574.5,4.40125084,205.2,LT-SEL,1.633129
5,594.8,5.8831768,278.9,LT-SEL,1.45682681
2,592.6,4.91427422,100,LT-SEL,1.35003245
7,573.9,3.8970089,200,LT-SEL,0.84790725
8,562.8,5.2535038,620.1,LT-SEL,0.89792567
8,578.9,8.87221527,560.4,LT-SEL,0.00473134
7,562.8,5.2535038,620.1,LT-SEL,0.89792567
7,578.9,8.87221527,560.4,LT-SEL,0.00473134
5,561.5,3.56035495,667.1,LT-SEL,0.38941371
5,562,4.10381317,664.8,LT-SEL,0.55525863
6,561.5,3.56035495,667.1,LT-SEL,0.38941371
6,562,4.10381317,664.8,LT-SEL,0.55525863
4,662.6,4.68487406,466.9,LT-SEL,0.30797628
4,677.8,4.51414013,504.5,LT-SEL,0.49305943
5,662.6,4.68487406,466.9,LT-SEL,0.30797628
5,677.8,4.51414013,504.5,LT-SEL,0.49305943
5,601.9,4.73188114,332.4,LT-SEL,1.94799662
5,602.6,3.24253392,325.6,LT-SEL,1.90431786
5,601.9,4.73188114,332.4,LT-SEL,1.94799662
5,602.6,3.24253392,325.6,LT-SEL,1.90431786
4,611.9,3.47198105,150,LT-SEL,0.13187182
5,340.8,8.63799095,72.11,LT-SEL,0.2041461
8,381,9.631917,120.4,LT-SEL,0.5425055
6,362.4,6.63645792,85.44,LT-SEL,0.19415538
